b,beta0,gamma,delta,mean_alpha_s1,mean_alpha_s0
4.24264,10,1.41421,0.1,0,2.41206
4.24264,10,2,0.01,0,2.7665
4.24264,10,1.41421,1,0,2.40528
4.24264,10,0.5,0.316228,2.79575,1.95613
4.24264,10,2,0.0316228,0,2.78122
4.24264,10,2,0.1,0,2.79189
6,0.1,0.5,0.01,1.81163,1.81198
4.24264,10,2,1,0,2.79905
4.24264,10,0.707107,0.316228,2.79848,1.99839
4.24264,10,0.707107,1,2.79994,1.80038
6,0.1,0.5,0.0316228,1.80529,1.80459
4.24264,10,0.5,1,2.79969,1.80013
6,0.1,0.5,0.1,0,0
4.24264,10,1,1,2.7999,1.99956
4.24264,10,1,0.316228,2.79989,2.0466
6,0.1,0.5,0.316228,0,0
6,0.1,0.5,1,0,0
6,0.1,0.707107,0.01,1.82205,1.82142
6,0.1,0.707107,0.0316228,1.8148,1.81043
4.24264,10,1.41421,0.316228,2.79987,2.41282
6,0.1,0.707107,0.1,0,0
6,0.1,0.707107,0.316228,0,0
6,0.1,0.707107,1,0,0
6,0.1,1,0.1,0,0
6,0.1,1,0.01,1.98772,1.98169
6,0.1,1,0.0316228,2.03425,1.99638
6,0.1,1,0.316228,0,0
6,0.1,1,1,0,0
6,0.1,1.41421,0.01,2.28847,2.36284
6,0.1,1.41421,0.1,0,0
6,0.1,1.41421,0.0316228,2.42953,2.41248
4.24264,10,2,0.316228,2.7996,2.79676
6,0.1,1.41421,0.316228,0,0
6,0.1,1.41421,1,0,0
6,0.1,2,0.1,0,0
6,0.1,2,0.316228,0,0
6,0.1,2,0.0316228,2.79175,2.78075
6,0.1,2,0.01,2.66027,2.76034
6,0.316228,0.5,0.01,1.81193,1.81156
6,0.1,2,1,0,0
6,0.316228,0.5,0.0316228,1.80524,1.80457
6,0.316228,0.5,0.316228,0,0
6,0.316228,0.5,0.1,1.80237,1.80144
6,0.316228,0.5,1,0,0
6,0.316228,0.707107,0.01,1.82241,1.82067
6,0.316228,0.707107,0.0316228,1.81483,1.81049
6,0.316228,0.707107,0.316228,0,0
6,0.316228,0.707107,0.1,1.82639,1.80375
6,0.316228,0.707107,1,0,0
6,0.316228,1,0.01,1.98624,1.98184
6,0.316228,1,0.316228,0,0
6,0.316228,1,1,0,0
6,0.316228,1,0.0316228,2.03508,1.99767
6,0.316228,1,0.1,2.11889,2.00079
6,0.316228,1.41421,0.01,2.29553,2.34845
6,0.316228,1.41421,0.316228,0,0
6,0.316228,1.41421,1,0,0
6,0.316228,1.41421,0.0316228,2.42896,2.41499
6,0.316228,1.41421,0.1,2.53113,2.41506
6,0.316228,2,0.1,0,2.79125
6,0.316228,2,0.316228,0,0
6,0.316228,2,1,0,0
6,0.316228,2,0.01,2.65873,2.76014
6,0.316228,2,0.0316228,2.79161,2.78
6,1,0.5,0.01,1.81175,1.81167
6,1,0.5,0.0316228,1.80583,1.80461
6,1,0.5,1,0,0
6,1,0.5,0.1,1.80483,1.80146
6,1,0.707107,0.01,1.82419,1.81977
6,1,0.707107,0.0316228,1.81958,1.81032
6,1,0.5,0.316228,2.00828,1.80039
6,1,0.707107,1,0,0
6,1,1,0.01,1.9959,1.98349
6,1,0.707107,0.1,1.90513,1.80364
6,1,0.707107,0.316228,2.09835,1.80125
6,1,1,1,0,0
6,1,1,0.0316228,2.06498,1.99827
6,1,1,0.1,2.18308,1.99971
6,1,1,0.316228,2.345,2.00008
6,1,1.41421,0.01,2.29575,2.36845
6,1,1.41421,1,0,0
6,1,1.41421,0.0316228,2.45102,2.41379
6,3.16228,0.5,0.01,0,1.81175
6,3.16228,0.5,0.0316228,0,1.80447
6,1,1.41421,0.1,2.58497,2.41442
6,1,1.41421,0.316228,2.77432,2.4131
6,1,2,0.01,2.63974,2.7655
6,1,2,0.316228,0,2.79707
6,1,2,1,0,0
6,3.16228,0.707107,0.01,0,1.82039
6,1,2,0.0316228,2.79231,2.78282
6,1,2,0.1,2.79773,2.79104
6,3.16228,0.5,1,0,1.80011
6,3.16228,1,0.01,0,1.9829
6,3.16228,0.707107,0.0316228,1.89465,1.81079
6,3.16228,0.5,0.1,2.15235,1.80143
6,3.16228,1,1,0,1.99946
6,3.16228,1,0.0316228,2.26199,1.99811
6,3.16228,0.707107,0.1,2.28568,1.80379
6,3.16228,0.5,0.316228,2.44446,1.80043
6,3.16228,0.707107,1,2.55514,1.80036
6,3.16228,1.41421,0.01,2.32159,2.35611
6,3.16228,0.707107,0.316228,2.59038,1.8013
6,3.16228,1,0.1,2.49212,1.99818
6,3.16228,1,0.316228,2.78974,2.00039
6,10,0.5,0.01,0,0
6,10,0.5,0.0316228,0,0
6,3.16228,1.41421,1,0,2.40678
6,3.16228,1.41421,0.0316228,2.56738,2.41365
6,3.16228,2,0.01,2.72831,2.76474
6,10,0.707107,0.01,0,0
6,10,0.707107,0.0316228,0,0
6,3.16228,1.41421,0.1,2.78636,2.41506
6,3.16228,2,1,0,2.79905
6,10,0.5,0.1,0,1.89385
6,3.16228,2,0.0316228,2.79452,2.78149
6,3.16228,1.41421,0.316228,2.79903,2.41009
6,10,0.707107,0.1,0,1.9306
6,10,1,0.01,0,1.98434
6,10,1,0.0316228,0,1.99814
6,3.16228,2,0.1,2.7985,2.79208
6,10,1,0.1,0,1.99926
6,3.16228,2,0.316228,2.79964,2.79688
6,10,1.41421,0.01,0,2.35544
6,10,1.41421,0.0316228,0,2.41125
6,10,1.41421,0.1,0,2.41332
6,10,2,0.01,0,2.76801
6,10,2,0.0316228,0,2.7802
6,10,1.41421,1,0,2.40595
6,10,2,0.1,0,2.79117
